surname,first_name,position added
Klein,Hans,Vizepräsident
Wimmer,Willy,Parl. Staatssekretär
Schmidt,Renate,Vizepräsidentin
Schäfer,Helmut,Staatsminister
Klein,Hans,Bundesminister für wirtschaftliche Zusammenarbeit
Schäfer,Helmut,Staatsminister im Auswärtigen Amt
Geiger,Michaela,Parl. Staatssekretär beim Bundesminister für wirtschaftliche Zusammenarbeit
Genscher,Hans-Dietrich,Bundesminister Auswärtigen
Töpfer,Klaus,"Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit"
Töpfer,Klaus,Bundesminister
Becker,Helmuth,Parl. Staatssekretär
Schmidt,Helmut,Bundeskanzler
Carstens,Karl,Präsident
Schmidt,Helmut,Bundesminister Finanzen
Franke,Egon,Bundesminister für innerdeutsche Beziehungen
Jahn,Gerhard,Bundesminister Justiz
Carstens,Karl,Staatssekretär Auswärtigen Amts
Lücke,Paul,Bundesminister für Wohnungsbau
Blank,Theodor,Bundesminister für Verteidigung
Schäfer,Hermann,Bundesminister für besondere Aufgaben
Fink,Ulf,Senator
Schäfer,Helmut,Staatsminister beim Bundesminister Auswärtigen
Lehr,Ursula Maria,"Bundesminister für Jugend, Familie, Frauen und Gesundheit"
Wimmer,Willy,Parl. Staatssekretär beim Bundesminister Verteidigung
Klein,Hans,Bundesminister für besondere Aufgaben
Klein,Hans,Chef Presseund Informationsamtes Bundesregierung
Wimmer,Willy,Parl. Staatssekretär beim Bundesminister für Verteidigung
Klein,Hans,Bundesminister
Walther,Hansjoachim,Bundesminister für besondere Aufgaben
Klein,Hans,"Bundesminister für besondere Aufgaben, Chef Presseund Informationsamtes Bundesregierung "
Wimmer,Willy,Pari. Staatssekretär
Schmidt,Renate,Vizepräsident
Schmidbauer,Bernd,Parl. Staatssekretär
Schmidbauer,Bernd,"Parl. Staatssekretär beim Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit"
Krause,Günther,Bundesminister für Verkehr
Klein,Hans Hugo,Parl. Staatssekretär beim Bundesminister Justiz
Klein,Hans Hugo,Parl. Staatssekretär
Vogt,Wolfgang,Parl. Staatssekretär beim Bundesminister für Arbeit und Sozialordnung
Vogt,Wolfgang,Parl. Staatssekretär
Franke,Heinrich,Parl. Staatssekretär beim Bundesminister für Arbeit und Sozialordnung
Franke,Heinrich,Parl. Staatssekretär
Köhler,Volkmar,Parl. Staatssekretär beim Bundesminister für wirtschaftliche Zusammenarbeit
Köhler,Volkmar,Parl. Staatssekretär
Vogel,Friedrich,Staatsminister beim Bundeskanzler
Vogel,Friedrich,Staatsminister
Vogt,Wolfgang,Pari. Staatssekretär
Becker,Helmuth,Parl. Staatssekretär beim Bundesminister für das Postund Fernmeldewesen
Becker,Helmuth,Parl. Staatssekretär beim Bundesminister für das Post und Fernmeldewesen
Becker,Helmuth,Parl. Staatssekretär beim Bundesminister für das Post-und Fernmeldewesen
Schnoor,Herbert,Minister
Klein,Hans Hugo,Pari. Staatssekretär
Franke,Egon,Bundesminister
Franke,Egon,Bundesminister für innerdeutsche. Beziehungen
Vogel,Hans-Jochen,Bundesminister Justiz
Franke,Egon,Bundesminister für innderdeutsche Beziehungen
Brandt,Willy,Bundeskanzler
Schmidt,Helmut,Bundesminister Finanzen
Jahn,Gerhard,"Bundesminister ,der Justiz"
Kohl,Helmut,Ministerpräsident
Kohl,Helmut,Bundeskanzler
Kühn,Heinz,Ministerpräsident
Schmidt,Hermann,Parl. Staatssekretär beim Bundesminister Verteidigung
Schmidt,Hermann,Parl. Staatssekretär
Franke,Egon,Bundesminister für innerdeutsche Beziehungen
Morgenstern,Heinz,Staatssekretär
Schmidt,Helmut,Bundesminister Verteidigung
Schmidt,Helmut,Bundesminister
Schmidt,Helmut,Bundesminister 'der Verteidigung
Schiller,Karl,Bundesminister für Wirtschaft
Schiller,Karl,Bundesminister
Jahn,Gerhard,Bundesminister Jusitz
Hahn,Wilhelm,Staatsminister Landes BadenWürttemberg
Schmidt,Helmut,Bundesminister für Wirtschaft und Finanzen
Brandt,Willy,Bundesminister Auswärtigen
Brandt,Willy,Bundesminister .des Auswärtigen
Schütz,Klaus,Staatssekretär Auswärtigen Amts
Jahn,Gerhard,Staatssekretär beim Bundesminister Auswärtigen
Lücke,Paul,"Bundesminister für Wohnungswesen, Städtebau und Raumordnung"
Eckardt,Felix,"Staatssekretär, Bundespressechef"
Lenz,Hans,Bundesminister für wissenschaftliche Forschung
Weber,Karl,Bundesminister Justiz
Carstens,Karl,Staatssekretär Auswärtigen Amts
Schäfer,Helmut,Staatsminister
Becker,Max,Vizepräsident
Eckardt,Felix,Staatssekretär Presseund Informationsamtes
Lücke,Paul,Bundesminister für den Wohnungsbau
Kaiser,Jakob,Bundesminister für gesamtdeutsche Fragen
Kaiser,Jakob,Bundesminister für gesamtdeutsche. Fragen
Schneider,Ludwig,Vizepräsident
Schmidt,Helmut,Berichterstatter
Meyer,Erich,Berichterstatter
Schneider,Herbert,Berichterstatter
Lenz,Aloys,Berichterstatter
Hoffmann,Karl,Berichterstatter
Weber,Helene,Berichterstatter
